Molecule # Iso Abundance     Q(296K)      gj    Molar Mass(g)   portion d'atm
   H2O (1)
         103  9.99688E-01    7.6712E+00    1      2.015650          0
         115  3.11432E-04    2.9874E+01    6      3.021825          0
    CS (46)
          97  9.39624E-01    2.5362E+02    1     43.971036          0
          98  4.16817E-02    2.5777E+02    1     45.966787          0
          99  1.05565E-02    5.3750E+02    2     44.974368          0
         100  7.41668E-03    1.0230E+03    4     44.970399          0
   SO3 (47)
         114  9.43400E-01    7.7833E+03    1     79.956820          0
  C2N2 (48)
         123  9.70752E-01    1.5582E+04    1     52.006148          0
 COCl2 (49)
         124  5.66392E-01    1.4800E+06    1     97.932620          0
         125  3.62235E-01    3.0435E+06   16     99.929670          0
     Ar (?)
       10000      1.0E+00         0E+00    0        40.000    0.00934
